         102885391 function calls (102878028 primitive calls) in 35.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      179    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       17    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
       82    0.000    0.000    0.000    0.000 __init__.py:1922(make_alias)
      174    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       31    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
        1    0.000    0.000    0.000    0.000 uuid.py:76(UUID)
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3970(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:833(<dictcomp>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      104    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       36    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
        1    0.000    0.000    0.008    0.008 _base.py:542(_AxesBase)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      161    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
       15    0.000    0.000    0.008    0.001 deprecation.py:436(make_keyword_only)
       30    0.000    0.000    0.001    0.000 getlimits.py:41(<lambda>)
      160    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(column_stack)
        1    0.000    0.000    0.000    0.000 __init__.py:660(<dictcomp>)
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.061    0.061 colorbar.py:1(<module>)
      484    0.000    0.000    0.000    0.000 artist.py:1437(<genexpr>)
       41    0.000    0.000    0.000    0.000 deprecation.py:194(finalize)
       54    0.000    0.000    0.000    0.000 pyparsing.py:3370(__str__)
       63    0.000    0.000    0.002    0.000 colors.py:968(reversed)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1592(DraggableBase)
      104    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       91    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 dviread.py:185(Dvi)
       27    0.000    0.000    0.000    0.000 pathlib.py:528(_select_from)
        1    0.000    0.000    0.007    0.007 pyparsing.py:6398(pyparsing_common)
       31    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
      306    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
